genre,epithete,nom_spec,circoncm,lat,lon,identifiant
,,,,47.1823784077608,-1.51933761084005,57712
,,,,47.1838597871685,-1.52146955120851,53020
,,,,47.1842935770734,-1.52972741480301,49480
,,,,47.1842943942492,-1.52489613848144,52950
,,,,47.1843743141958,-1.52957603152403,49481
,,,,47.1844753487978,-1.52941025996472,49482
,,,,47.1844968895635,-1.53013711407896,57792
,,,,47.1848218442266,-1.52498702622266,58220
,,,,47.1848550745272,-1.5250435894314,58221
,,,,47.1848977907109,-1.52511272711859,58222
,,,,47.1849267051578,-1.52516369465028,58223
,,,,47.1849848874157,-1.52525508629117,58224
,,,,47.1850872733329,-1.52542497158611,58225
,,,,47.185126616191,-1.52548726085856,58226
,,,,47.1851557659849,-1.53133013258283,57777
,,,,47.1851607889247,-1.52554257156345,58227
,,,,47.1851932088137,-1.52559643475186,58228
,,,,47.1852214896439,-1.52563943028463,58229
,,,,47.1852453663244,-1.52567946586185,58230
,,,,47.1852810412291,-1.52568996632952,58219
,,,,47.1853142857364,-1.52569236461756,58231
,,,,47.1854157008428,-1.53295014769414,57855
,,,,47.1854791451563,-1.53208012970118,57768
,,,,47.1854890884359,-1.53114018733421,58528
,,,,47.1856187296148,-1.52561127781354,49360
,,,,47.1857473088742,-1.53265043121951,57872
,,,,47.1858281637804,-1.52180692800482,59919
,,,,47.1858574456361,-1.52141665565287,59926
,,,,47.1858589527586,-1.53249071226793,57763
,,,,47.1858728425412,-1.52117203055974,59928
,,,,47.1858966708028,-1.5214287303638,59927
,,,,47.1858988963312,-1.52184637565295,59920
,,,,47.1859150721691,-1.52117507350262,59929
,,,,47.1859484493119,-1.52192657398417,59921
,,,,47.18598443409,-1.52155131655555,59932
,,,,47.1860156760929,-1.52196312689829,59922
,,,,47.1860170918378,-1.5212484826281,59930
,,,,47.186060308231,-1.52124895442796,59931
,,,,47.1860689112835,-1.52204094859012,59923
,,,,47.1861352836659,-1.52207611899184,59924
,,,,47.1861444526109,-1.52147961507935,59933
,,,,47.1861521763846,-1.53387006674964,57756
,,,,47.1861543917347,-1.52104831174564,59936
,,,,47.1861828234011,-1.52149030717095,59934
,,,,47.1861866776301,-1.52215512943009,59925
,,,,47.1862015993164,-1.52103718051482,59935
,,,,47.1862404409235,-1.52176001309557,59940
,,,,47.1862774717907,-1.52178382048531,59939
,,,,47.1863032162094,-1.52133780102442,59938
,,,,47.1863463443298,-1.52134090886942,59937
,,,,47.1863858163557,-1.532679402622,58518
,,,,47.1864127237642,-1.52237091833512,59941
,,,,47.1864835444008,-1.5224077311842,59942
,,,,47.1865317855974,-1.5224733035014,59943
,,,,47.1865993809197,-1.52252573815366,59944
,,,,47.1866510394591,-1.52259684175877,59945
,,,,47.186720683494,-1.52269566552912,59946
,,,,47.1869012869082,-1.52286986869926,59947
,,,,47.1869556060557,-1.51799202489776,53071
,,,,47.1869563613267,-1.51805021110474,53072
,,,,47.1870009115482,-1.51795697265614,53070
,,,,47.1870058672559,-1.51805113317658,53073
,,,,47.1870425680062,-1.51797714719321,53069
,,,,47.1870485379238,-1.51804099366859,53074
,,,,47.1871474806413,-1.52304880172176,59948
,,,,47.1872324275471,-1.52312098533187,59949
,,,,47.1872557023042,-1.52320589827688,59950
,,,,47.1873283925852,-1.52321378141807,59951
,,,,47.1874207612021,-1.51932556673838,59264
,,,,47.1875080525186,-1.52338924154483,59952
